pinyin,counts,zi
a1,10,吖呵啊腌錒锕阿𠼞𥥩𨉚
a2,3,呵啊嗄
a3,2,啊阿
a4,3,呵啊阿
a5,4,呵啊嗄阿
ai1,22,㶼剴哀哎唉嗳噯埃娭挨捱欸溾諰銰鎄锿𠳳𡉓𡟓𢰇𤸖
ai2,31,㱯䔇䠹䶣凒厓呆啀嘊娾嵦挨捱敱敳溰獃癌皑皚磑隑騃𠊎𤸳𦩴𧪚𩂢𩪂𩮖𫘤
ai3,33,㗨㢊㾨䑂䨠乃佁唉嗳噫噯奇娾昹欸毐濭烠矮絠蔼藹謁譪躷霭靄鯦𣤃𦥂𦥈𧡋𩫇
ai4,89,㕌㗒㘷㝵㝶㤅㾢㿄䀳䅬䔽䝽䬵乂伌僾儗叆呃唉嗌嗳噯堨塧壒嫒嬡愛懓懝暧曖欬焥爱瑷璦皧瞹砹硋碍礙艾薆譺賹醷鑀閡阨阸隘靉餲馤鱫鴱𡁍𡰽𡶃𢟪𢟰𢣏𢣕𣋞𣎴𣜬𣝅𣩄𣩱𤢵𤻢𥡽𥤦𥴨𦗍𦗐𦤦𧏹𧓁𧰿𧵨𨶂𩂒𩈋𪇈𪕭
an1,58,㛺㞄㡋㫨㭺㸩䀂䅖䢿䤃䤶侒厂啽媕安峖广庵桉氨痷盒盦盫腤菴萻葊蓭裺誝諳谙鉗闇陰鞌鞍韽馣鮟鴳鵪鶕鹌黯𠽪𡯏𢰍𣚖𧩸𧫥𧫧𧮍𩽾𪁟𪘒
an2,9,䜙儑啽犴玵雸𡪁𡽜𣵱
an3,27,㜝㽢䅖侒俺匼唵垵埯揞晻碪罯銨铵闇隌𠉬𠪚𠿑𤃷𤜁𥦍𦺽𩅝𩈴𪒠
an4,52,㟁㱘䅁䎨䬓䮗䯥儑厈咹垾堓婩屽岸干按晻暗案桉洝犴胺荌豻貋遃錌闇頇頞鮟黯𠰑𡎑𡪙𡹼𣆛𣣚𣽥𤞿𤟉𥏮𥳬𧖮𧫧𨲊𩓤𩭢𩹎𪒠
ang1,6,肮腌醃骯𠵫𡕉
ang2,13,㭿䀚䒢䩕䭹仰卬岇昂昻𤭒𩑝𩔘
ang3,4,䇦䭺𦫫𨋕
ang4,11,㼜枊盎醠𠹃𡵙𢓋𣉗𣖮𩉰𩜟
ao1,22,㕭㩠䆟䫜凹坳柪梎棍泑熝熬爊眑軪鴢𤇯𤏶𧅃𧨲𩥊𪃨
ao2,55,㟼㠂㿰䚫䥝䦋䵅傲厫嗷嗸嚣囂墽嶅廒慠摮敖滶熬獒獓璈磝磽礉翱翶翺聱蔜螯謷謸遨鏕鏖隞鰲鳌鷔鼇𡊛𡏼𢧴𢳆𣊁𣷫𥂢𦪈𩘮𩮯𩱏𪉑
ao3,26,㑃㤇䉛䐿䯠䴈媪媼抝拗眑芺蝹袄襖郩镺鴁𢁱𥜌𦽀𨱧𩈏𩑤𩣻𪁾
