pinyin,counts,zi
ao4,52,㕭㘬㘭㜜㜩㠗㥿䐿䜒䫨䮯傲噢坳垇墺奡奥奧嫯岙岰嶅嶴慠懊扷抝拗擙敖柪澆澳燠謷軪鏊隩驁骜鷔鿫𡒃𢕟𢳆𤺾𥑑𩑍𩕀𩟇𩼈
ba1,53,㭭㸭㺴㿬䈈䰾䶕丷仈八叭吧哱哵夿岜峇巴巼扒捌捭朳柭玐疤笆粑羓芭蚆豝釛釟鈀魞鲃𠛋𠵺𡚭𢠭𢻷𤜱𤣸𤤒𥐙𦓧𧎱𧲧𨊹𩚥𩠀𩡩
ba2,38,㔜㧊䟦䮂䳊八叐坺墢妭抜抪拔湃炦犮癹胈茇茷菝萆詙跋軷颰魃鼥𢇷𥎱𥥛𦳺𧺡𧺺𩊤𩖣𩖽𩙥
ba3,7,㞎把鈀钯靶𢃳𢺞
ba4,47,㭛㶚䃻䆉䇑䎬䎱䥯䩗䩻䯲䰾䶕伯坝垻壩弝把杷欛灞爸皅矲罢罷耙覇跁霸靶鮁鮊鲅鲌𠐌𤜕𥝧𦫙𧿏𩃴𩨜𩹏𩽷
ba5,7,叭吧紦罢罷𣬶𣬷
bai1,10,㓦㧳䠋䪹挀掰擘𢛞𨃅𩑢
bai2,6,㿟䳆白𥬝𦣺𪡈
bai3,18,䙓伯佰捭摆擺柏栢瓸百竡粨絔罷襬𠫛𠮠𦣻
bai4,38,㔥㠔䒔䢙呗唄啡庍扒拜拝排敗派猈稗粺薜薭贁败鞁鞴韛𠟻𡏯𡭢𢈕𣧙𣺽𤁣𤙅𤽹𦩋𦳞𩋂𩎻𩏞
bai5,1,㗑
ban1,47,㢖㻞䃑䈲䰉卑彬扳搫搬攽斑斒朌班瘢癍籓般螌褩豳賁辬頒颁鳻𠔯𠚼𠦒𠺚𢲔𣪂𤡰𤦦𤫫𤳖𥹓𦎊𧇥𨭉𩔮𩭧𩿉𪄕𪉒𪒋
ban3,22,䉽䬳坂岅昄板版瓪粄舨般蝂覂鈑钣闆阪魬𠧫𡯘𧌿𧿨
ban4,36,㚘㪵䛀並伴分办半坢埿姅怑扮拌柈湴瓣秚絆绊跘辦辨辯鉡靽𠯘𢲔𢴬𥷁𦙹𦝤𨐦𨐱𨐾𩢔
ban5,1,螁
bang1,29,㙃㨍㿶䩷垹帮幇幚幫彭捠梆浜縍邦邫鞤𠲑𠳐𢁏𢸌𣮡𤚰𤱵𥀂𦰥𨢐𩋮𩍗
bang3,13,㮄搒榜牓紡綁绑膀螃騯髈𣮧𦾭
bang4,45,㭋䂜䎧䖫䧛䰷並傍嗙埲塝嫎徬搒旁棒棓榜玤硥磅稖縍膀艕蒡蚄蚌蛖蜯謗谤鎊镑𠨵𠬣𡽲𢄎𢜗𢪋𢮏𢶶𣘙𩦠𩮗
bao1,26,佨剥勹包孢枹炮煲笣胞苞苴葆蕔裒褒襃闁鮑齙龅𠅬𠣒𡶄𧵢𨚔
bao2,18,㵡㿺䈏䥤䨌䨔䪨嫑砲窇薄鉋雹𤿈𥭓𦡕𦢊𧭤
bao3,42,㙅㻄䎂䭋䭸䯽䳈䳰䴐保呆堡堢媬宝宲寚寳寶怉珤緥葆藵褓賲靌飹飽饱駂鳵鴇鸨𠤏𡧖𤞥𨰦𨰻𩛞𩬽𩭼
bao4,53,㙸㫧㲒䤖儤刨勽嘐嚗報忁怉报抱暴曓瀑爆菢虣蚫袌袍豹趵鉋鑤铇靤骲髱鮑鲍𠣺𠹕𡂟𡉩𢼌𣋳𣭀𤔣𤝧𥄹𧘑𧝘𧭤𨇅𨠖𩊅𩍂𩾡𩿓𪏶
bei1,47,㗗㽡䎱䚜䣙䥯䱝俾卑埤悲揹杯柸桮棓椑波盃碑箄背萆藣襬諀錍陂鞞鵯鹎𢃍𣝁𣬍𤵛𤷁𤷒𤿾𥏓𥶓𦈧𦈶𦩖𧼠𩔹
bei3,8,㤳䋳北悖鉳𡰯𧉥𧋲
bei4,104,㔗㔨㛝㣁㪍㫲㭭㰆㶔㷶㸢㸬㸽㻗㾱䔒䟛䟺䡶䩀䰽俻倍偝偹備僃北哱垻备孛怫悖惫愂憊拔昁杮梖棑棓焙牬犕狈狽珼琲碚禙糒背苝茀菩萯葡蓓蛽蜚被褙誖貝贝跋軰輩辈邶郥鄁鋇鐴鐾钡鞁鞴骳𠋭𠐡𠢥𡋭𡥞𢂏𢴾𢻵𣎵𣖾𣬪𤜲𤰈𤳦𤹲𤿒𦮷𦾙𧶙𨚍𩇩𩖠𩚾
bei5,3,呗唄臂
ben1,20,倴喯奔本栟泍渀犇蟦賁贲逩錛鐼锛𡗲𣳰𩣺𩧼𪑖
ben3,11,㡷㮺夲奙本楍畚翉苯𡗢𣄏
ben4,29,㤓㨧㮥䬱体倴坋坌夯奔捹撪桳泍渀炃燌獖笨軬輽逩𣴞𥢊𦯀𨋒𩰶𪊜𪎝
beng1,44,㔙㧍㱶䑫䨜伻傍傰嗙嘣奟崩嵭平抨搒旁榜痭祊絣綳繃绷閍𠜳𠡮𡡈𡶤𢆸𢉁𢏳𢐒𣂤𣨥𤙾𤡭𥛱𥞩𦅈𨕧𨸂𨹹𨻱
beng2,1,甭
beng3,24,㑟䋽䙀䩬䳞俸唪埄埲漨琣琫繃绷菶鞛𤫬𥀂𦂌𧑑𧚭𨓁𩊌𩑚
beng4,32,㷯㼞䨻䭰堋塴泵熢甏繃绷蚌跰蹦迸逬錋鏰镚𡎾𡾛𥖗𥦜𦝷𦺑𧩱𧻓𨆊𨹹𩂦𩗴𪔑
beng5,1,揼
bi1,40,㡙㯅䚜䫾䮠偪媲屄幅悂楅榌毴皀笓箄紕螕豍逼鈚錍鎞鰏鲾鵖𢞗𢟵𢡅𣚡𤝸𥏠𦀘𧓎𧤃𨲋𨻀𨻼𩧿𩭧
bi2,10,䨆䵄䵗嬶荸鼻𣴨𦤫𧼱𩾳
bi3,58,㚰㠲㪏㻶䃾䏢䘡䠋䣥佊俾匕卑吡啚夶妣娝崥彼捭朼枇柀比沘疕秕笔筆箄粃紕罷聛肥舭貏鄙鈚魮𠐌𠛡𠧅𠬈𡳄𢩒𢳋𣔓𤹦𤽊𦸣𧳠𨅗𨟵𩣚𪌄𪐄
bi4,308,㓖㘠㘩㙄㡀㢰㢶㢸㧙㪤㮿㯇㱸㳼㵒㵥㻫㿫㿰䀣䁹䄶䉾䊧䋔䌘䌟䎵䏟䏶䕗䖩䟆䟤䠋䧗䩛䪐䫁䫾䬛䮡䯗仳佖佛俾卑吡咇哔嗶坒埤堛壁奰妼婢嬖币幣幤庇庳廦弊弻弼彃必怭怶愊愎拂敝斃旇服枇枈柲梐椑檗殍比毕毖毙泌波湢滗滭潷濞煏熚狴獘獙珌璧畀畁畐畢疪痹痺皕睤瞥碧祕禆秘稫笓筚箄箅箆篦篳粊紕紴綼縪繴罼翍肶肸胇脾腷臂芘苾茀荜萆萞蓖蓽蔽薜蘗虑蜌袐被裨襅襞襣觱詖诐貱費賁贔贲赑跛跸踾蹕躃躄辟避邲鄨鄪鉍鏎鐴铋閇閈閉閟闭陂陛陴鞁鞞鞸韠飶饆馝馥駜驆髀髲魓鮅鮩鴓鶝鷝鷩鸊鼊𠈺𠋯𠓷𠡂𠦈𠨘𠩿𠮃𠽩𡚁𡛗𡠚𡻞𡽶𢁽𢅩𢍁𢐦𢖬𢘍𢲾𢴩𣁉𣁢𣋹𣕾𣘥𣝍𣢠𣥣𣦇𣦢𣩩𣭤𣮐𣯴𤂀𤅹𤐙𤗚𤙞𤜻𤠺𤡝𤢣𤵘𤷒𤹝𤻖𥆯𥈗𥛘𥟗𥢦𥳆𥴬𥷑𦂖𦑞𦔆𦠞𦤫𦭼𦯛𦰙𦱔𦳈𧏻𧒀𧓄𧝬𧥑𧫤𧲜𧳠𨋥𨋩𨐨𨚍𨚓𨠔𨳲𨵰𨸼𩉫𩊰𩏂𩑻𩪖𩪧𩯃𩲢𪋜𪍪𪏺
bian1,42,䟍便扁揙煸牑猵獱甂砭稹笾箯籩糄編编臱萹蝙边辺邉邊鍽鞕鞭鯾鯿鳊𠐈𠑟𢩟𢻶𣩀𤄺𦇭𨖾𨥧𨩫𪏗𪓍
bian3,40,㦚䁵匾封惼扁疺碥稨窆糄編緶萹藊褊覵豍貶贬辨辯釆鴘鶣𠓫𠪂𡈯𡬯𡬲𡬸𢴂𤀫𥣝𥣰𦟣𦽟𧸘𨖠𪖯
bian4,75,㝸㣐㭓㲢㳎㳒㴜㵷㺕㺹䉸䐔䒪䛒䡢䪻便卞变変峅弁徧忭抃拚揙昪汳汴玣編緶缏艑苄覍變辡辧辨辩辫辮辯遍邲釆閞頨𠭹𠯴𠷖𡊅𢬵𢭥𣈠𣝜𣪭𣸇𤀲𤺇𤻶𥍚𥿋𦉙𧩰𨐾𨖠𨚕𨧕𨳲𩩯𩰍𪉱
bian5,2,炞边
biao1,80,㟽㶾䁃䁭䅺䔸䙳䮽僄儦剽墂嫖幖彪摽杓标標淲滮漂瀌灬熛爂猋瘭磦穮篻脿膔膘臕苞蔈藨謤贆鏖鏢鑣镖镳颩颮颷飆飇飈飊飑飙飚驃驫骉骠髟麃𠔂𠚠𢅚𢒯𣄠𤂆𤆀𤐫𥲦𦔗𦔩𦠎𦾑𧥍𨭚𩙪𩪊𩴩𩽁
biao3,16,㟽㠒㯹䔸剽婊檦脿表裱褾諘錶𢅚𥘤𧝪
biao4,14,㧼䞄俵摽標脿蔈鰾鳔𠬪𢿏𧳀𧴎𧴕
bie1,34,㔡㭭䋢䘷䳤憋撇柭瘪癟蔽虌蟞鱉鳖鼈龞𡐞𡘴𡙀𢐳𢠳𣇢𣊶𤉤𤷗𥞲𥡁𧆊𧌽𨂅𩵛𩸁𪂟
bie2,38,㧙䇷䏟䟤䠥䭱別别咇徶扒拔捌柲癟秘穪苾莂蛂蟞襒蹩𠍯𡙪𡷘𢛎𤺓𤾵𧝬𧧸𧿥𨒜𩓝𩠻𩡟𩦉𪐆
bie3,3,㿜瘪癟
bie4,5,㢼䌘别彆𢆣
bin1,56,㻞䚔䧬䨈份傧儐宾彬攽斌梹椕槟檳汃浜滨濒濱濵瀕玢瑸璸砏繽缤虨訜豩豳賓賔贇邠鑌镔霦頻顮𠴇𡦻𡧍𡧼𢲰𣉮𣢏𣰨𥃰𧷟𨐰𨽗𩆱𩴱𪇕
bin3,1,䐔
bin4,15,儐摈擯殡殯膑臏髌髕髩鬂鬓鬢𡦆𧸈
bin5,1,氞
bing1,24,䔊仌仒兵冫冰屏并幷掤栟梹槟檳氷絣鋲𡲍𢎴𣅍𥲂𨹗𩋒𪑰
bing3,49,㨀䴵丙偋寎屏庰怲抦摒昞昺枋柄棅炳琕癛眪禀秉稟窉綆苪蛃跰邴鈵鉼陃鞆鞞鞸餅餠饼𠒝𠛥𠱛𡇤𡖛𡚛𡹾𣦪𦼹𩊖𩏂𩶁
bing4,37,㓈䗒丙並併倂偋傡垪寎屏平并幷庰拼摒栤燹病痭竝誁靐鮩𠊧𢆩𢊜𢔧𣰜𥖬𦡻𦿅𨆱𨋲𩬝𩮟
bo1,65,㞈䃗䝛䭦僠剝剥哱啵妭嶓帗拔拨撥播波溊潑潘玻番癶癷發皪盋砵碆磻紴缽脖般菠蕃袚袰趵蹳鉢钵餑饽驋鮁鱍鲅𠱀𠺣𡀖𢂍𤗳𤜧𥮯𦲱𧘟𧙄𧲯𨭂𩜥𩧯𩬸𩯌𬭛
bo2,202,㗘㟑㩧㩭㪍㬍㬥㬧㴾㵨㶿㹀㼎㼟㼣䂍䄶䊿䌟䍸䑈䗚䙏䞳䟔䟛䟮䢌䢪䥬䪇䪬䬪䭯䮀䮡䯋䰊䳁䵗䶈亳仢伯佛侼僰勃募博哱嚗壆孛帛彴怕愽懪拍挬搏暴服柏柭桲榑欂殕泊浡淿渤溥瀑煿爆牔犦犻狛猼瓝瓟白百礡礴秡穛箔簙簿肑胉脖膊舶艊艴苩茀茷菩葧蒲蔔薄薜袯袹襏襮詙豰跑踣郣鈸鉑鋍鎛鑮钹铂镈餺馎馛馞駁駮驳髆髉魄鮊鲌鵓鹁𠧛𠮭𠷺𠸳𡋯𢐾𢠺𢣞𢩞𢫯𢺽𣋵𣛓𣧧𣭷𣽡𤃵𤒔𤕝𤗺𤚽𤶋𤾝𥜖𥭖𥴮𥹸𦃙𦈞𦋉𦢊𦤚𦤣𦯉𦰬𦼭𦽮𧇚𧟱𧿲𨈩𨍭𨏫𩃶𩄿𩌏𩍿𩏯𩓐𩗀𩗒𩗓𩙦𩟕𩣡𩱚𩷚𩽛𪌰𪍡𪙍
bo3,11,㝿播箥簸蚾跛𤿑𥸥𥸨𪓜𪚷
bo4,20,孹擗擘柏檗檘簸糪蔢薄薜蘖蘗襎譒𠴸𡅂𡯳𡯷𩈔
bo5,5,卜啵噃萡蔔
bu1,19,哺峬庯晡秿誧逋鈽钸陠餔鯆鵏𠚉𥪀𧻷𩶉𩺼𬷕
bu2,7,不僕輹轐醭鳪𥻞
bu3,31,㙛㨐䀯䋠䪁䪔卜卟哺喸堡拊捕捬撲补補鵏鸔𡡐𢼹𣱶𤣰𥃨𥣌𥸨𨴪𩏮𩏵𩯏𪇰
bu4,76,㘵㚴㱛㳍㻉㾟䊇䍌䏽䑰䒀䝵䬏䳝䴺不佈勏吥咘埔埗埠婄尃布廍怖悑抪捗柨步歨歩溥瓿箁篰簿荹蔀薄踄部郶鈈钚附陠鞴餔餢𠘁𠜙𢁻𢇴𤚵𤸵𥑢𥳖𥹴𧉩𨋞𨛒𩅇𩊬𩊶𩌏𩏵𩢕𩣝𩷖𩻗𫐓𫗦
ca1,12,䃰䌨傪嚓拆擦攃蔡𤄖𨆾𨺭𪊗
ca3,2,礤礸
ca4,7,䟃䵽囃磣遪𥗭𥩝
cai1,9,㥒䞗䟀䠕偲啋婇揌猜
cai2,13,㒲䴭才扐材纔裁財财𢎂𦬁𧵤𨙴
cai3,22,㥒䌽䐆䣋倸啋埰婇寀彩採毝睬綵跴踩采𤚀𤝭𤟖𤷕𧀊
cai4,15,䌨䰂埰寀棌縩菜蔡采𡣮𤁱𨯓𩁞𩧇𪇭
can1,29,㜗䉔䟃䱗傪参參叄叅喰囋嬠嵾湌爘飡飱餐驂骖鰺𠫭𡡖𥢽𦪜𦪫𩛳𩝖𩟒
can2,40,㜞㥇㨻㱚䍼䏼䗝䗞䘉䙁䝳䣟䳻惭慙慚戔摲残殘淺蚕蝅蠶蠺蹔𠠋𠡡𢦸𢧮𢾃𣦼𥂥𦺐𧅀𧓩𨅔𨞷𩀧𩈻
can3,20,㦧㿊䅟䣟噆惨慘憯朁穇篸縿黪黲𡆮𥠩𥮾𨲱𩈼
can4,28,㛑㣓㻮㽩䛹傪儏參嘇孱掺摻澯灿燦璨粲薒謲鏒𡛝𣶡𣻬𤅒𥹛𩞀𩯞𪆶
cang1,26,仓仺伧倉傖凔嵢沧滄濸獊瑲篬舱艙苍蒼螥鶬鸧𠥐𤚬𦾝𩀞𩕹𩝞
cang2,12,㵴㶓匨欌臧蔵藏鑶𡽴𡾻𡿄𨤃
cang3,1,蒼
cang4,3,䅮䢢賶
cao1,9,㿷䎭撡操澡糙造𠀊𤒕
cao2,31,㜖㯥䄚䏆䐬傮嘈嶆慒曹曺槽漕艚蓸螬褿鏪鐰𡮦𣈅𣉿𤡐𤵥𥕢𥲍𦋿𨎝𩞄𩠎𩫥
cao3,9,䒑屮愺慅懆艸草騲𠹊
cao4,8,䒃慥漕肏襙造鄵鼜
cao5,1,艹
ce4,54,㥽㨲㩍䇲䈟䊂䔴䜺侧側冊册厕厠墄嫧幘廁恻惻憡拺敇栅测測畟笧策筞筴箣簎粣荝萗萴蓛赦齰𡍫𢷾𢿸𣌧𥠉𥬰𥰡𥳯𦔎𦣧𦵪𧵡𨶨𩒄
cei4,1,𤭢
cen1,6,参參嵾穇篸
cen2,21,㞤㞥䅾䤁䨙䫈䲋岑梣汵涔硶笒𣡎𦊃𨁊𨥣𨱼𩅨𩅮𩻛
ceng1,3,噌曽𡃆
ceng2,21,㬝䁬䉕僧增层層嶒曾橧竲繒蹭鄫驓𡪠𡾓𢅋𤛢𦠇𧲅
ceng4,3,㣒蹭𠟂
cha1,54,㛼㮑䛽偛叉喳嗏嚓差扠扱挿捷接插揷杈疀碴肞臿艖芆荖訍釵銟鍤鎈锸餷馇𠝞𠞊𡋨𡵌𢔣𢘹𢭅𣆗𤜫𤜯𤳵𤵾𦑈𦝥𦦘𦦜𦦱𨀸𨙳𨪺𩝟𪘾
cha2,56,㜘㡸㢉㢒㪯㫅䁟䅊䕓䠡䤩叉垞察嵖捈搽摖斜查梌楂槎檫猹碴秅苴茬茶荼褨詧鉏靫𠞊𠽹𡝐𡝙𡨀𢣼𣘤𣘻𣱱𤶠𥌀𥥸𥻗𦉆𦑣𦛝𦳘𨃓𨼑𩟔𪒼
cha3,11,䂳叉土衩蹅鑔镲𡌚𥑥𥫢𨩨
cha4,38,㣾㤞㲼㳗䒲䓭䟕䡨䶪仛侘刹叉奼姹岎岔差杈汊紁衩訍詫诧𣃍𣍏𤞠𤳅𥃀𧠈𧩫𧫗𧶵𨆇𩴳𪑂𪑨
chai1,14,㼮䐤䞗差扠拆搓芆釵钗𠞊𢹓𥐟𩑐
chai2,19,㑪㾹䓱侪儕喍查柴犲祡茈豺齜𡟭𡺵𤝔𤞗𤠌𨌅
chai3,2,䜺茝
chai4,21,㦅㳗䘍囆差瘥蔕虿蠆袃訍𦏱𦐰𦑏𧀱𧒨𧓽𧔴𧕧𧪘𧸿
chan1,44,㚲㢟㤐㰫㺗䦓䩥䪜佔兔嘽嚵幨掺搀摻攙梴沾緂脠苫袩裧襜襝覘觇辿鉆鋓𠣄𡖞𡖤𡝫𡮿𢌚𤎥𤴿𥭔𨊝𨵍𩖌𩬑
chan2,102,㙻㢆㶣㺥䂁䜛䡲䣑䤫䧯䫮亶僝僤儃儳劖单厘單嚵壥婵嬋嬗孱嶄巉廛撣棎欃毚湹漸潹潺澶瀍瀺煘獑磛禅禪緾繟繵纏纒缠艬蝉螹蟬蟺蟾襢誗讒谗蹍躔辿鄽酁鋋鑱镡镵饞馋𡎻𢥋𢽝𣔵𣔻𣤱𤸦𦝟𧐲𧓋𧕃𧥓𧨗𧴃𧾍𧾡𨬖𨮻𨷭𨽊𩮏𩽝𪏁𪏂𪏋𪏦𪓄𪖎𪗂𪚃
chan3,86,㦃㯆㹌㹽䊲䐮䑎䤘䥀䩶䵐丳产僤冁刬剗剷啴單嘽囅墠嵼幝憚摌斺旵榐浐滻灛燀產産簅繟蒇蕆諂譂讇谄辴醦鏟铲閳闡阐骣𠁷𠋷𠐩𠑆𠑑𠑡𠹖𡍌𡶴𢁧𢱟𢷹𣃘𤚍𤯥𥧑𦆀𦈎𦢙𦸰𧈪𧬦𨄉𨇝𨔢𨩪𨪑𨲵𨷭𨼒𩝚𩥮𪙞𬊤
chan4,41,㙴㨻㬄㸥䀡䊲䠨䦲䪜䱿䴼儳刬剗幝幨忏懴懺摲燀硟羼裧襜讖韂顫颤𠟉𢺟𤗻𤪮𤮭𤼋𥊓𧠛𨇦𨳂𩍲𩟶
chang1,29,䅛䗉䮖伥倀倡娼昌晿椙淐猖琩菖裮錩锠閶闛阊鯧鲳鼚𥫅𨷇𩲹𩳤𪂇𪉨
chang2,48,㙊㦂䗅䠆䯴仧仩倘偿償兏嘗嚐场場塲嫦尚尝常徜棖瑺瓺甞肠脹腸膓苌萇裳鋿鏛長镸长鱨鲿𠙁𢁝𥋤𦰱𦼳𨣛𨱮𪁺𪄹
chang3,23,㫤䠀僘儻厂厰场場塲廠惝敞昶氅淌鋹𡭿𤢄𤿼𥗊𨎖𪁺𬬮
chang4,24,䩨倡唱怅悵昌暢淌焻玚瑒畅畼誯韔鬯𠚊𢗺𢢌𤽣𥇔𥟚𥠴𧀄
chang5,1,蟐
chao1,31,䜈䟁䫸䫿䰫䳂剿劋勦吵嘮弨怊抄摷樔欩焯紹綽绰訬超鈔钞𠰉𢁾𤙴𦾱𨴡𩖥
chao2,31,䄻䰫䲃勦嘲巢巣晁朝樔漅潮濤牊窲罺謿轈鄛鼂鼌𡏮𡡊𡻝𡼼𣰩𥕘𥧇𥲀𦸛𨄓
chao3,29,㥮㶤㷅䎐䏚吵巐抄槱炒焣煼眧粆訬謅超趫鈔麨𦙧𧧠𩈎𩱈𩱦𪌬𪍇𪍑𪎊
chao4,21,䮓仦仯吵巢抄晁縐耖觘超趠𡯴𤰬𥿷𦨖𨌬𨗡𨢪𨨚𪍈
che1,12,伡俥唓砗硨莗蛼車车𡷖𤥭𩒷
che2,1,𧙝
che3,12,㨋㵔䋲䞣䰩偖奲尺扯撦𦓍𩴟
che4,64,㒤㔭㤴㥉㬚㱌㳧㾝㿭䁤䊞䒆䚢䛸䜠䞣䧪勶呫喢坼宅屮彻徹拆掣揊摰撤斥池澈烢烲爡瞮硩聅詀謵迠頙𢇛𢊏𢛁𣨊𤊿𤕛𤖷𤗙𤹞𥯥𥿊𦈈𦛖𧼳𨀠𨅊𨹡𩂻𩎚𩗙𪎺
chen1,37,㥲㲀䀼䏹䐜䑣䠳侲嗔抻捵棽琛瘨瞋綝縝肜胂諃謓賝郴𣞟𤝚𤟸𤡳𥞁𦁄𦁟𧡬𨻖𨼌𩂉𩅌𩇖𬘭
chen2,68,㕴㫳㴴㽸䆣䒞䜟䟢䢅䢈䢻䣅䤟填塵宸尘帘忱愖揨敐晨曟枕桭棧樄橙沈沉湛煁瘎臣茞莀莐蔯薼螴訦諶谌趁跈軙辰迧鈂陈陳霃鷐麎𢆺𣀍𤘣𤹛𥉜𥫹𦁟𧨡𨑌𨼤𪁏𪁧𪕁
chen3,20,䫈䫖堪墋夦湛眈硶碜磣謲贂趻踸醦鍖𥔪𧿒𨣔𩞀
chen4,28,㧱䞋儭嚫榇櫬瀋疢疹称稱衬襯讖谶趁趂闖齓齔龀𠋆𡫁𢎕𥗒𧆂𧭼𨼐
chen5,2,伧傖
cheng1,70,㓌㛵䁎䕝䗀䞓䟓䟫偁僜净噌憆搶摚撐撑朾柽棦棱槍樘橕橖檉泟浾湞爯牚琤瑲睖瞠矃秤称稱穪竀緽罉虰蛏蟶赪赬蹚鎗鏳鏿鐣鐺铛阷靗頳饓𠏧𡽊𣥺𦓬𧯒𨎋𨭃𩁷𩇜𩞦𩠏
cheng2,111,㞼㨃㲂㼩䁎䄇䆑䆵䇸䔲䚘䧕䫆䮪丞乗乘倀傖呈嗆城埕埩堘塍塖娍宬峸嵊徵惩憕懲成承挰掁搶撜晟朾枨棖椉橙檙氶洆浧淨溗澂澄瀓珵珹畻盛盯碀程窚筬絾脀脭荿裎觕誠诚趟郕郢酲醒鋮铖騬鯎𠓷𠕠𠳽𡝚𢐞𢻓𢾊𢿦𢿧𣀏𤆁𤗓𤿣𥢲𥥱𦦢𧶔𧹓𨁎𨅝𨌤𨞐𨹚𩙆𩤙𩨆𩫹𩯎𪁋
cheng3,15,侱呈庱徎悜睈裎踜逞騁骋𢜻𢜼𢟊𣥻
cheng4,19,㐼敞爯牚秤称稱竀黨𡤿𢔤𤕀𧡈𧶸𧷒𨋬𨌤𩇜𩛦
chi1,70,㰞㷰㺈䄜䇪䜉䧝侙吃哧喫嗤噄噭妛媸彨彲抬摛摴攡樆瓻痴癡眵瞝离笞粚絺胝胵脪蚩蚳螭訵誺郗離魑鴟鵄鸱黐齝𡼁𢣕𢱟𣣷𤡢𥄇𥭘𦆤𦇲𦐉𦑡𦞲𧩚𧩴𧪡𧴁𨒬𩤖𩶅𪌹𪏸𫄨
chi2,99,㓾㙜㞴㢮㮛㾹䙙䜄䞾䪧䮈䶔䶵俿匙坻墀她岻弛徲持提柢歭汖池沱沶治泜漦狋祇穉竾筂箈箎篪耛芪茌茬荎莉菭蚳蛇蝭謘謻貾赿趍跢踟踶軧迟迡遅遟遲邌鍉馳驪驰鶗𠩺𡂙𡉪𡌞𡎍𢓎𢔊𣉄𣲋𣲑𣹡𤈔𦏸𦐁𦑡𦱰𦳚𦵟𧋗𧎨𧛺𧭟𧺏𨘾𨨲𩉬𩚉𪌫𪏐
chi3,65,㘜㢁㢋㱀㶴䊼䏧䑛䜵䜻侈卶叺呎哆垑奓尺恥扡拖拸搋欼歯移紕耻肔胣蚇袲袳裭褫誀誃豉鉹齒齣齿𠛔𠝨𠞄𠭋𡖳𡳭𢇕𢇛𣆚𣤌𤟆𤵬𥚚𦙆𧀤𧉀𧛧𧰲𨑠𨖎𨾛𩒐𩳲
