gamma,q0,freq_opt
0,0.0,100
0,0.1,100
0,0.2,100
0,0.30000000000000004,99
0,0.4,100
0,0.5,99
0,0.6000000000000001,97
0,0.7000000000000001,97
0,0.8,76
0,0.9,47
1,0.0,100
1,0.1,100
1,0.2,100
1,0.30000000000000004,100
1,0.4,100
1,0.5,100
1,0.6000000000000001,100
1,0.7000000000000001,97
1,0.8,91
1,0.9,74
2,0.0,100
2,0.1,99
2,0.2,100
2,0.30000000000000004,100
2,0.4,99
2,0.5,99
2,0.6000000000000001,100
2,0.7000000000000001,98
2,0.8,96
2,0.9,85
3,0.0,100
3,0.1,100
3,0.2,100
3,0.30000000000000004,100
3,0.4,100
3,0.5,99
3,0.6000000000000001,99
3,0.7000000000000001,92
3,0.8,90
3,0.9,74
4,0.0,100
4,0.1,100
4,0.2,100
4,0.30000000000000004,100
4,0.4,94
4,0.5,97
4,0.6000000000000001,95
4,0.7000000000000001,82
4,0.8,77
4,0.9,75
5,0.0,99
5,0.1,99
5,0.2,97
5,0.30000000000000004,99
5,0.4,90
5,0.5,93
5,0.6000000000000001,82
5,0.7000000000000001,79
5,0.8,81
5,0.9,77
0,0.0,0
0,0.1,46
0,0.2,78
0,0.30000000000000004,91
0,0.4,99
0,0.5,100
0,0.6000000000000001,100
0,0.7000000000000001,100
0,0.8,100
0,0.9,100
1,0.0,0
1,0.1,72
1,0.2,92
1,0.30000000000000004,100
1,0.4,100
1,0.5,100
1,0.6000000000000001,100
1,0.7000000000000001,100
1,0.8,100
1,0.9,100
2,0.0,53
2,0.1,82
2,0.2,95
2,0.30000000000000004,97
2,0.4,100
2,0.5,100
2,0.6000000000000001,100
2,0.7000000000000001,100
2,0.8,100
2,0.9,100
3,0.0,0
3,0.1,75
3,0.2,83
3,0.30000000000000004,87
3,0.4,95
3,0.5,100
3,0.6000000000000001,99
3,0.7000000000000001,100
3,0.8,100
3,0.9,100
4,0.0,0
4,0.1,77
4,0.2,78
4,0.30000000000000004,86
4,0.4,92
4,0.5,95
4,0.6000000000000001,95
4,0.7000000000000001,99
4,0.8,99
4,0.9,99
5,0.0,38
5,0.1,81
5,0.2,81
5,0.30000000000000004,86
5,0.4,84
5,0.5,88
5,0.6000000000000001,91
5,0.7000000000000001,96
5,0.8,98
5,0.9,98
